RCP_NM,rcp_parts_dtls_cleaned
새우 두부 계란찜,"새우두부계란찜
연두부 칵테일새우 달걀 크림 설탕 무염버터 
고명
시금치"
부추 콩가루 찜,"조선부추 날콩가루 ⅓작은술 
"
방울토마토 소박이,"방울토마토 박이 
방울토마토 양파 × 부추 
 
고춧가루 멸치액젓 다진 마늘 매실액 설탕 물 통깨"
순두부 사과 소스 오이무침,"오이무침 
오이 다진 땅콩 
 순두부사과 스 
순두부 사과"
사과 새우 북엇국,"북엇국
북어채 새우 사과 양파 
표고버섯 물 ½컵"
저염 된장으로 맛을 낸 황태해장국,"황태해장국
황태 채 콩나물 무 × × 저염된장 물 ½컵 청양고추 다진 마늘"
된장국,"된장국
두부 × × 애느타리버섯 감자 × × 양파 × 파 된장 물 ½컵"
표고버섯 청경채국,"멸치 국물용 멸치 다시마 × 양파 × 표고버섯 기둥 국간장 물 ½컵 
 채 준비 청경채 표고버섯 다진 마늘"
치커리샐러드와 올리브 마늘 소스,"치커리 샐러드 치커리 적양배추 × 양파 × 당근 × × 
 올리브마늘 올리브유 식초 설탕 마늘"
스트로베리 샐러드,"스트로베리 샐러드
딸기 플레인요거트 양상추 메추리알 블루베리 식초 금"
시금치 우유 소스와 그린매쉬드포테이토,"그린매쉬드포테이토 감자 시금치우유 스 아몬드 설탕 크랜베리 치커리 
 시금치우유 스 시금치 우유"
버섯구이와 두부타르타르 소스,"버섯구이 새송이버섯 올리브유 
 곁들임 치커리 
 두부타르타르 스 연두부 다진 양파 다진 오이피클 올리브유 식초 레몬즙 머스터드 꿀 흰 후추"
구운채소와 간장레몬 소스,"구운채 가지 호박 새송이버섯 양파 발사믹크레마 빨강 파프리카 × 노랑 파프리카 × 청피망 × 올리브유 
 간장 레몬 스 저염간장 식초 설탕 레몬즙"
브로콜리 컬리플라워 샐러드와 두유 요거트 소스,"브로콜리컬리플라워 샐러드 브로콜리 컬리플라워 적양파 × 강낭콩 건포도 호두 금 
 두유요거트 스 두유 ⅓큰술 플레인요거트 ⅓큰술 레몬즙 설탕"
오렌지와 당근 만남주스,"오렌지 당근펀치
당근 오렌지"
칠곡석류국수,"
 스 석류 
 장식 잣 아몬드 해바라기씨 호두 호박씨 오이"
블랙빈 곤약국수,"
실곤약 검은콩 볶은 흑임자 호두 
 장식
오이 토마토 달걀"
닭가슴살 브로콜리 만두,"
만두피 브로콜리 숙주 표고버섯 닭 가슴살 참기름 저염간장 금 후춧가루"
함초 냉이 국수,"
 함초 노루궁뎅이버섯 다시마 파 양파 무 모시조 냉이 간장 
 장식 달걀 청고추 실고추"
된장 두부찌개,"두부 쌀뜨물 ½컵 돼지고기 김치 된장 ½큰술 청양고추 홍고추 
 파 고춧가루"
부대된장찌개,다시마 두부 떡국 떡 스팸 마일드 다진 마늘 무 김치 시지 우민찌 양파 저염된장 베이컨 파 청양고추 홍고추
양배추감자전,"
 스 오렌지즙 간장 식초"
돌나물 샐러드,"돌나물 샐러드 돌나물 미니새송이버섯 참기름 
 레몬마요네즈 스 마요네즈 레몬즙 ⅓큰술 청양고추 홍고추 참기름"
석류 보쌈김치,"
"
유자 대구조림,"
 스 유자청 ⅓큰술 발사믹식초 화이트와인 
 장식 파"
파프리카 물김치,"
 ½"
고추장 라따뚜이,"
 스 양파 마늘 토마토 설탕 바질 고추장"
민들레 샐러드,"
 간장 ⅓큰술 다진 홍고추 레몬즙 설탕"
토마토 가지 카프레제,"
 올리브오일 발사믹식초 후춧가루"
우렁된장소스 배추롤,"돼지고기 배춧잎 부추 쌀 당근 
표고버섯 양파 애호박 우렁이 
된장"
인삼떡갈비,"고기 돼지고기 추 양파 
마늘 배 애호박 단호박 
파프리카 인삼 양송이 배추잎 
저염간장 설탕 금 후춧가루 
두부"
초계탕과 사색곤약,"닭고기 가시오가피 파 다시마 
건새우 실곤약 비트 치자가루 
마늘 금 후춧가루 양파 
오이 겨자가루 식초 설탕"
호박잎 삼계탕,"호박잎 닭고기 가슴살 찹쌀 추 
미나리 인삼 금 후춧가루"
황태미역 곤약스프,"황태채 곤약 건미역 들깨가루 
두부 된장 액젓 표고버섯 마늘 
참기름"
훈제오리가슴살 샐러드,"오리고기 훈제오리 가슴살 발사믹 스 
양파 파슬리 블루베리 레디쉬"
훈제오리가슴살크러스트,"오리고기 훈제오리 가슴살 로즈마리 오렌지 
새송이버섯 파슬리 땅콩 올리브오일 
유자청 후춧가루"
간장소스를 곁들인 새우전복찜,"전복 새우 시금치 해초 
저염간장 레몬 설탕 금 
마늘 녹말 식용꽃"
검은콩국수,"검은콩 메밀면 오이 방울토마토 
땅콩 잣 참깨"
겨자소스로 구운 산마샐러드,"산마 참나물 돈나물 토마토 
레디쉬 어린잎 저염간장 식초 
설탕 겨자가루"
닭고기김치찌개,"
김치 참기름 느타리버섯 달걀 
 다시마 무 파 양파 마른 고추 멸치 
마늘 청주 물"
완자김치찌개,"
두부 붉은 고추 
다진 돼지고기 등심 새우젓 
 파 마늘 쇠고기"
백김치콩비지찌개,"
 간장"
오징어김치찌개,"
고구마 콩나물 김치 쑥갓 
 무 다시마 파 멸치 물 
 들깻가루"
해물김치찌개,"
"
맑은부대찌개,"
배추 미나리 돼지고기 
쇠고기 불린 당면 조랭이떡 
다시마 다시마 양파 파 
무 마른 고추 
 파 
다진 마늘 후춧가루 금"
나가사키부대찌개,"
표고버섯 팽이버섯 청양고추 붉은 고추 감자 
무 두부 애호박 깻잎 쑥갓 
완자 다진 돼지고기 다진 파 다진 마늘 후춧가루 
 금 밀가루 달걀노른자 
 사골 다시마 
 들깻가루"
삼계부대찌개,"
풋고추 파 쑥갓 표고버섯 
애호박 김치 팽이버섯 
당면 숙주 떡 
 당귀 추 오가피 함초 
 마늘"
쑥갓부대찌개,"
 다시마 물 
 고추장"
들깨순두부찌개,"
양파 미나리 파 붉은 고추 순두부 
 금"
백태순두부찌개,"
양파 파 붉은 고추 풋고추 바지락 
저염된장 새우 순두부 
 마른 다시마 멸치 물"
버섯순두부찌개,"
 다시마 표고버섯 밑동 물 
 저염국간장"
토란순두부찌개,"
백합 들깻가루 순두부"
토마토스프파스타,"홀토마토 토마토 다진양파 다진마늘 먹물파스타 치즈 
파슬리가루 함초 금 올리브오일 
곁들이 야채 양파 가지 파프리카 애호박"
다이어트국수,"실곤약 물김치국물 오이 달걀 
당근 양파 통깨 레몬즙 
탄산수 어간장"
오징어구이,"오징어 미니파프리카 양파 청고추 홍고추 
 
올리고당 후추 참기름 
고명 볶은 현미"
배숙구이,배 후르츠칵테일 강청 방울토마토 탄산수
웰빙스테이크,"쇠고기등심 시금치 마늘 양파 건바질 
감자 레몬 파슬리가루 
 스 르네디종 홀그레인머스터 사과 버터"
오징어콩순대,"오징어 옥수수 귀리밥 강낭콩 
당근 미니파프리카 피망 파 양파 
카레가루 흰후추 다진마늘 참기름 밀가루 레몬즙"
토마토소고기장조림,"고기 우둔살 메추리알 방울토마토 마늘 꽈리고추 양파 
"
토마토소고기찜,"고기우둔살 샐러리 당근 양파 
화이트와인 홀토마토 버터 레몬 흰후추 파슬리가루 함초 금"
맛간장삼치구이,"삼치 강 파 통깨 버터 
 스 맛간장 강청 커피"
삼겹살꼬치구이,"삼겹살 방울토마토 마늘기름 후추 로즈마리 통후추 
 파 마늘 꽈리고추 
 파채 파 고춧가루 레몬즙"
새우아욱죽,귀리밥 아욱 건새우 칵테일새우 저염 된장
까르보나라뇨끼,"감자 깻잎 베이컨 백일송이 
다진마늘 다진양파 다진 파 흰후추 버터 우유 
생크림 설탕 치즈가루"
호박죽,"단호박 찹쌀가루 브로콜리 양파 볶은 현미 
버섯마늘 금 흰후추 치즈가루"
라이스버거떡갈비,"라이스버거 밥 맛간장 전분가루 팽이버섯 흰후추 달걀 
떡갈비 다진 고기 다진돼지고기 다진양파 다진쪽파 맛간장 후추 
토마토겉절이 토마토 미나리 맛간장 청고추 홍고추"
고추김치,"
 절임물 해물 어간장 
 통깨"
누룽닭,"닭가슴살 강즙 정종 시금치 
당근 양파 샐러리 파프리카 
느타리 주꾸미 새우 청경채 
누룽지 튀김기름 저염간장 
녹말가루 마늘 금 후춧가루"
광어스테이크,"광어 금 후춧가루 밀가루 
달걀 아몬드 호두 올리브오일 
 스 플레인요거트 꿀 레몬즙"
치즈감자크로켓,"감자 크림 당근 양파 오이 
 금 모짜렐라치즈 밀가루 달걀 
빵가루 튀김기름"
코코넛밀크카레,"두부 금 코코넛밀크 당근 
양파 브로컬리 돼지고기 감자 
버터 카레가루 물"
